Date,Quantity,Revenue,DayOfWeek,Month,Quarter,Year,Lag_1,Lag_7,Rolling_7,Forecast_Demand,Current_Stock,Inventory_Demand_Gap,Stock_Coverage_Days,Risk,Recommendation,Inventory_Assumption
2010-01-08,12695,30293.95,4,1,1,2010,40614.0,8771.0,13977.42857142857,12695,20966.0,8271.0,1.65,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-10,13383,23597.85,6,1,1,2010,12695.0,14478.0,14538.0,13383,21807.0,8424.0,1.63,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-11,13980,37886.41,0,1,1,2010,13383.0,4578.0,14381.57142857143,13980,21572.0,7592.0,1.54,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-12,21264,40786.98,1,1,1,2010,13980.0,10646.0,15724.714285714286,21264,23587.0,2323.0,1.11,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-13,8835,22470.18,2,1,1,2010,21264.0,11296.0,17241.571428571428,8835,25862.0,17027.0,2.93,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-14,13784,31550.9,3,1,1,2010,8835.0,7459.0,16890.0,13784,25335.0,11551.0,1.84,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-15,8419,13507.9,4,1,1,2010,13784.0,40614.0,17793.571428571428,8419,26690.0,18271.0,3.17,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-17,9911,17393.2,6,1,1,2010,8419.0,12695.0,13194.285714285714,9911,19791.0,9880.0,2.0,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-18,10333,21397.71,0,1,1,2010,9911.0,13383.0,12796.57142857143,10333,19195.0,8862.0,1.86,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-19,15274,33233.881,1,1,1,2010,10333.0,13980.0,12360.857142857143,15274,18541.0,3267.0,1.21,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-20,9477,19018.04,2,1,1,2010,15274.0,21264.0,12545.714285714286,9477,18819.0,9342.0,1.99,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-21,72900,27359.23,3,1,1,2010,9477.0,8835.0,10861.857142857143,72900,16293.0,-56607.0,0.22,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-22,18573,36786.17,4,1,1,2010,72900.0,13784.0,20014.0,18573,30021.0,11448.0,1.62,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-24,8846,15930.84,6,1,1,2010,18573.0,8419.0,20698.14285714286,8846,31047.0,22201.0,3.51,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-25,10038,22994.15,0,1,1,2010,8846.0,9911.0,20759.14285714286,10038,31139.0,21101.0,3.1,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-26,22968,47166.99,1,1,1,2010,10038.0,10333.0,20777.285714285714,22968,31166.0,8198.0,1.36,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-27,17837,28668.3,2,1,1,2010,22968.0,15274.0,22582.285714285714,17837,33873.0,16036.0,1.9,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-28,11243,19816.87,3,1,1,2010,17837.0,9477.0,22948.428571428572,11243,34423.0,23180.0,3.06,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-29,10162,28358.431,4,1,1,2010,11243.0,72900.0,23200.714285714286,10162,34801.0,24639.0,3.42,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-31,10735,18600.35,6,1,1,2010,10162.0,18573.0,14238.142857142857,10735,21357.0,10622.0,1.99,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-01,9251,19784.231,0,2,1,2010,10735.0,8846.0,13118.42857142857,9251,19678.0,10427.0,2.13,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-02,11094,21513.02,1,2,1,2010,9251.0,10038.0,13176.285714285714,11094,19764.0,8670.0,1.78,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-03,10285,21414.701,2,2,1,2010,11094.0,22968.0,13327.142857142857,10285,19991.0,9706.0,1.94,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-04,12798,22500.71,3,2,1,2010,10285.0,17837.0,11515.285714285714,12798,17273.0,4475.0,1.35,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-05,10342,21844.6,4,2,1,2010,12798.0,11243.0,10795.42857142857,10342,16193.0,5851.0,1.57,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-07,11186,17026.83,6,2,1,2010,10342.0,10162.0,10666.714285714286,11186,16000.0,4814.0,1.43,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-08,8616,17407.0,0,2,1,2010,11186.0,10735.0,10813.0,8616,16220.0,7604.0,1.88,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-09,10891,19618.82,1,2,1,2010,8616.0,9251.0,10510.285714285714,10891,15765.0,4874.0,1.45,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-10,3761,9542.04,2,2,1,2010,10891.0,11094.0,10744.57142857143,3761,16117.0,12356.0,4.29,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-11,9035,15080.27,3,2,1,2010,3761.0,10285.0,9697.0,9035,14546.0,5511.0,1.61,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-12,7652,11380.41,4,2,1,2010,9035.0,12798.0,9518.42857142857,7652,14278.0,6626.0,1.87,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-14,10895,17785.58,6,2,1,2010,7652.0,10342.0,8783.285714285714,10895,13175.0,2280.0,1.21,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-15,96425,42469.531,0,2,1,2010,10895.0,11186.0,8862.285714285714,96425,13293.0,-83132.0,0.14,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-16,16711,31144.43,1,2,1,2010,96425.0,8616.0,21039.285714285714,16711,31559.0,14848.0,1.89,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-17,25014,26512.72,2,2,1,2010,16711.0,10891.0,22195.714285714286,25014,33294.0,8280.0,1.33,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-18,19853,35750.14,3,2,1,2010,25014.0,3761.0,24213.285714285714,19853,36320.0,16467.0,1.83,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-19,12611,27225.01,4,2,1,2010,19853.0,9035.0,26512.14285714286,12611,39768.0,27157.0,3.15,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-21,5555,11394.731,6,2,1,2010,12611.0,7652.0,27023.0,5555,40534.0,34979.0,7.3,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-22,13427,26353.58,0,2,1,2010,5555.0,10895.0,26723.428571428572,13427,40085.0,26658.0,2.99,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-23,11873,22651.17,1,2,1,2010,13427.0,96425.0,27085.14285714286,11873,40628.0,28755.0,3.42,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-24,22454,33065.091,2,2,1,2010,11873.0,16711.0,15006.285714285714,22454,22509.0,55.0,1.0,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-25,26312,46615.67,3,2,1,2010,22454.0,25014.0,15826.714285714286,26312,23740.0,-2572.0,0.9,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-26,7419,16682.951,4,2,1,2010,26312.0,19853.0,16012.142857142857,7419,24018.0,16599.0,3.24,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-02-28,8419,16741.49,6,2,1,2010,7419.0,12611.0,14235.857142857143,8419,21354.0,12935.0,2.54,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-01,21448,25782.41,0,3,1,2010,8419.0,5555.0,13637.0,21448,20456.0,-992.0,0.95,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-02,11897,26384.14,1,3,1,2010,21448.0,13427.0,15907.42857142857,11897,23861.0,11964.0,2.01,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-03,20381,34058.37,2,3,1,2010,11897.0,11873.0,15688.857142857143,20381,23533.0,3152.0,1.15,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-04,18546,32298.39,3,3,1,2010,20381.0,22454.0,16904.285714285714,18546,25356.0,6810.0,1.37,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-05,18260,27536.73,4,3,1,2010,18546.0,26312.0,16346.0,18260,24519.0,6259.0,1.34,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-07,10927,19805.55,6,3,1,2010,18260.0,7419.0,15195.714285714286,10927,22794.0,11867.0,2.09,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-08,15620,37254.31,0,3,1,2010,10927.0,8419.0,15696.857142857143,15620,23545.0,7925.0,1.51,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-09,12353,21999.6,1,3,1,2010,15620.0,21448.0,16725.571428571428,12353,25088.0,12735.0,2.03,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-10,18013,27453.03,2,3,1,2010,12353.0,11897.0,15426.285714285714,18013,23139.0,5126.0,1.28,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-11,14179,24495.36,3,3,1,2010,18013.0,20381.0,16300.0,14179,24450.0,10271.0,1.72,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-12,11029,21689.34,4,3,1,2010,14179.0,18546.0,15414.0,11029,23121.0,12092.0,2.1,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-14,4927,8947.9,6,3,1,2010,11029.0,18260.0,14340.142857142857,4927,21510.0,16583.0,4.37,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-15,15166,27587.701,0,3,1,2010,4927.0,10927.0,12435.42857142857,15166,18653.0,3487.0,1.23,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-16,12845,23955.88,1,3,1,2010,15166.0,15620.0,13041.0,12845,19562.0,6717.0,1.52,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-17,78859,30719.54,2,3,1,2010,12845.0,12353.0,12644.57142857143,78859,18967.0,-59892.0,0.24,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-18,23659,41086.47,3,3,1,2010,78859.0,18013.0,22145.428571428572,23659,33218.0,9559.0,1.4,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-19,13368,45641.61,4,3,1,2010,23659.0,14179.0,22952.0,13368,34428.0,21060.0,2.58,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-21,12281,20522.53,6,3,1,2010,13368.0,11029.0,22836.14285714286,12281,34254.0,21973.0,2.79,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-22,12821,25441.66,0,3,1,2010,12281.0,4927.0,23015.0,12821,34522.0,21701.0,2.69,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-23,54452,56400.48,1,3,1,2010,12821.0,15166.0,24142.714285714286,54452,36214.0,-18238.0,0.67,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-24,14409,30118.4,2,3,1,2010,54452.0,12845.0,29755.0,14409,44632.0,30223.0,3.1,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-25,17094,38826.8,3,3,1,2010,14409.0,78859.0,29978.428571428572,17094,44968.0,27874.0,2.63,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-26,20924,32523.46,4,3,1,2010,17094.0,23659.0,21154.85714285714,20924,31732.0,10808.0,1.52,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-28,14517,22402.0,6,3,1,2010,20924.0,13368.0,20764.14285714286,14517,31146.0,16629.0,2.15,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-29,25151,59864.07,0,3,1,2010,14517.0,12281.0,20928.285714285714,25151,31392.0,6241.0,1.25,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-30,19258,38506.0,1,3,1,2010,25151.0,12821.0,22766.85714285714,19258,34150.0,14892.0,1.77,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-03-31,13642,29613.53,2,3,1,2010,19258.0,54452.0,23686.428571428572,13642,35530.0,21888.0,2.6,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-01,17291,30768.0,3,4,2,2010,13642.0,14409.0,17856.428571428572,17291,26785.0,9494.0,1.55,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-06,13022,19394.87,1,4,2,2010,17291.0,17094.0,18268.14285714286,13022,27402.0,14380.0,2.1,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-07,23528,34542.31,2,4,2,2010,13022.0,20924.0,17686.428571428572,23528,26530.0,3002.0,1.13,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-08,26803,47554.84,3,4,2,2010,23528.0,14517.0,18058.428571428572,26803,27088.0,285.0,1.01,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-09,9120,16949.62,4,4,2,2010,26803.0,25151.0,19813.571428571428,9120,29720.0,20600.0,3.26,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-11,11585,19732.05,6,4,2,2010,9120.0,19258.0,17523.428571428572,11585,26285.0,14700.0,2.27,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-12,12839,27122.851,0,4,2,2010,11585.0,13642.0,16427.285714285714,12839,24641.0,11802.0,1.92,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-13,14446,25966.670000000002,1,4,2,2010,12839.0,17291.0,16312.57142857143,14446,24469.0,10023.0,1.69,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-14,16329,27064.35,2,4,2,2010,14446.0,13022.0,15906.142857142857,16329,23859.0,7530.0,1.46,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-15,10769,29559.63,3,4,2,2010,16329.0,23528.0,16378.57142857143,10769,24568.0,13799.0,2.28,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-16,14865,19508.45,4,4,2,2010,10769.0,26803.0,14555.857142857143,14865,21834.0,6969.0,1.47,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-18,12961,23934.46,6,4,2,2010,14865.0,9120.0,12850.42857142857,12961,19276.0,6315.0,1.49,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-19,19363,45228.87,0,4,2,2010,12961.0,11585.0,13399.142857142857,19363,20099.0,736.0,1.04,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-20,13464,29083.36,1,4,2,2010,19363.0,12839.0,14510.285714285714,13464,21765.0,8301.0,1.62,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-21,13264,29380.61,2,4,2,2010,13464.0,14446.0,14599.57142857143,13264,21899.0,8635.0,1.65,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-22,21576,43480.08,3,4,2,2010,13264.0,16329.0,14430.714285714286,21576,21646.0,70.0,1.0,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-23,10212,16582.71,4,4,2,2010,21576.0,10769.0,15180.285714285714,10212,22770.0,12558.0,2.23,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-25,8380,16574.53,6,4,2,2010,10212.0,14865.0,15100.714285714286,8380,22651.0,14271.0,2.7,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-26,19555,36086.35,0,4,2,2010,8380.0,12961.0,14174.285714285714,19555,21261.0,1706.0,1.09,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-27,23403,46110.74,1,4,2,2010,19555.0,19363.0,15116.285714285714,23403,22674.0,-729.0,0.97,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-28,19380,32452.69,2,4,2,2010,23403.0,13464.0,15693.42857142857,19380,23540.0,4160.0,1.21,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-29,17039,32709.821,3,4,2,2010,19380.0,13264.0,16538.571428571428,17039,24808.0,7769.0,1.46,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-04-30,17511,29087.39,4,4,2,2010,17039.0,21576.0,17077.85714285714,17511,25617.0,8106.0,1.46,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-02,6296,12342.17,6,5,2,2010,17511.0,10212.0,16497.14285714286,6296,24746.0,18450.0,3.93,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-04,11192,22701.79,1,5,2,2010,6296.0,8380.0,15937.714285714286,11192,23907.0,12715.0,2.14,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-05,15625,28100.920000000002,2,5,2,2010,11192.0,19555.0,16339.42857142857,15625,24509.0,8884.0,1.57,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-06,31089,54582.2,3,5,2,2010,15625.0,23403.0,15778.0,31089,23667.0,-7422.0,0.76,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-07,23171,35744.13,4,5,2,2010,31089.0,19380.0,16876.0,23171,25314.0,2143.0,1.09,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-09,11825,22852.06,6,5,2,2010,23171.0,17039.0,17417.571428571428,11825,26126.0,14301.0,2.21,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-10,15713,32905.93,0,5,2,2010,11825.0,17511.0,16672.714285714286,15713,25009.0,9296.0,1.59,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-11,18150,28722.09,1,5,2,2010,15713.0,6296.0,16415.85714285714,18150,24624.0,6474.0,1.36,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-12,21669,31357.44,2,5,2,2010,18150.0,11192.0,18109.285714285714,21669,27164.0,5495.0,1.25,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-13,26817,41041.6,3,5,2,2010,21669.0,15625.0,19606.0,26817,29409.0,2592.0,1.1,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-14,14348,18873.96,4,5,2,2010,26817.0,31089.0,21204.85714285714,14348,31807.0,17459.0,2.22,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-16,11028,18370.09,6,5,2,2010,14348.0,23171.0,18813.285714285714,11028,28220.0,17192.0,2.56,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-17,13811,25513.64,0,5,2,2010,11028.0,11825.0,17078.571428571428,13811,25618.0,11807.0,1.85,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-18,22477,28911.53,1,5,2,2010,13811.0,15713.0,17362.285714285714,22477,26043.0,3566.0,1.16,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-19,9644,17696.18,2,5,2,2010,22477.0,18150.0,18328.571428571428,9644,27493.0,17849.0,2.85,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-20,15590,25679.04,3,5,2,2010,9644.0,21669.0,17113.428571428572,15590,25670.0,10080.0,1.65,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-21,10076,27275.22,4,5,2,2010,15590.0,26817.0,16245.0,10076,24368.0,14292.0,2.42,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-23,13889,25127.13,6,5,2,2010,10076.0,14348.0,13853.42857142857,13889,20780.0,6891.0,1.5,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-24,32771,35787.18,0,5,2,2010,13889.0,11028.0,13787.857142857143,32771,20682.0,-12089.0,0.63,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-25,15014,22364.37,1,5,2,2010,32771.0,13811.0,16894.0,15014,25341.0,10327.0,1.69,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-26,18921,38397.29,2,5,2,2010,15014.0,22477.0,17065.85714285714,18921,25599.0,6678.0,1.35,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-27,17905,30802.74,3,5,2,2010,18921.0,9644.0,16557.85714285714,17905,24837.0,6932.0,1.39,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-28,12627,21823.33,4,5,2,2010,17905.0,15590.0,17738.0,12627,26607.0,13980.0,2.11,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-05-30,6220,10733.47,6,5,2,2010,12627.0,10076.0,17314.714285714286,6220,25972.0,19752.0,4.18,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
