Date,Quantity,Revenue
2010-02-25,26014,44604.16
2010-02-26,6798,12778.641
2010-02-28,8419,16741.49
2010-03-01,21188,23933.87
2010-03-02,11019,21667.8
2010-03-03,20031,31849.7
2010-03-04,18044,29966.35
2010-03-05,17947,25361.64
2010-03-07,10876,19034.6
2010-03-08,13876,26605.58
2010-03-09,11984,19665.69
2010-03-10,17302,22905.79
2010-03-11,13706,21537.09
2010-03-12,10586,19123.05
2010-03-14,4927,8947.9
2010-03-15,13990,20536.681
2010-03-16,12256,21048.78
2010-03-17,78565,29543.78
2010-03-18,20574,37570.75
2010-03-19,12780,35274.3
2010-03-21,12262,20485.48
2010-03-22,12051,21494.16
2010-03-23,54157,41826.29
2010-03-24,13663,25970.5
2010-03-25,16603,30503.38
2010-03-26,20215,29867.35
2010-03-28,14517,22402.0
2010-03-29,18251,31740.38
2010-03-30,18224,33524.51
2010-03-31,12506,24591.07
2010-04-01,16895,28646.66
2010-04-06,12715,17900.83
2010-04-07,22970,32146.75
2010-04-08,25830,39866.6
2010-04-09,8676,14668.53
2010-04-11,11585,19732.05
2010-04-12,12188,25912.471
2010-04-13,14373,25736.04
2010-04-14,16322,27054.25
2010-04-15,10700,19538.34
2010-04-16,14781,19363.82
2010-04-18,12961,23934.46
2010-04-19,14564,24561.04
2010-04-20,12416,21202.35
2010-04-21,11566,25873.86
2010-04-22,21229,35741.2
2010-04-23,9829,14969.64
2010-04-25,8380,16574.53
2010-04-26,17979,29734.03
2010-04-27,22759,43534.06
2010-04-28,19058,31181.87
2010-04-29,16370,29575.671
2010-04-30,16441,24532.95
2010-05-02,6296,12342.17
2010-05-04,10501,18945.33
2010-05-05,14814,23625.22
2010-05-06,30422,51704.13
2010-05-07,22834,31976.09
2010-05-09,11825,22852.06
2010-05-10,14734,26496.43
2010-05-11,17134,25201.04
2010-05-12,21360,29744.74
2010-05-13,26351,38966.0
2010-05-14,13848,16895.24
2010-05-16,11028,18370.09
2010-05-17,13483,23290.76
2010-05-18,21947,26164.58
2010-05-19,9421,16575.5
2010-05-20,15470,25331.44
2010-05-21,9052,22494.36
2010-05-23,13755,24824.93
2010-05-24,32351,33536.19
2010-05-25,14606,20415.92
2010-05-26,18023,29586.64
2010-05-27,17496,29221.670000000002
2010-05-28,12005,18569.88
2010-05-30,6204,10702.97
2010-06-01,7769,13093.79
2010-06-02,11289,13714.76
2010-06-03,16947,26644.63
2010-06-04,6389,11447.73
2010-06-06,14079,25457.15
2010-06-07,28736,45523.11
2010-06-08,25001,48215.48
2010-06-09,24843,36508.94
2010-06-10,9677,18009.12
2010-06-11,20517,30835.29
2010-06-13,10942,21147.77
2010-06-14,15586,21317.37
2010-06-15,18633,26937.46
2010-06-16,18495,29229.94
2010-06-17,12892,22635.35
2010-06-18,9315,17788.69
2010-06-20,4487,9078.58
2010-06-21,11305,18116.21
2010-06-22,6355,12414.03
2010-06-23,15489,25098.24
2010-06-24,9410,17217.85
2010-06-25,6502,12371.59
2010-06-27,10851,18706.920000000002
2010-06-28,33808,51132.78
2010-06-29,20301,32236.920000000002
2010-06-30,20254,31491.43
2010-07-01,16217,28830.02
2010-07-02,8599,16726.13
2010-07-04,5302,10376.29
2010-07-05,16155,30963.57
2010-07-06,11148,19917.28
2010-07-07,13410,24902.95
2010-07-08,11697,19973.45
2010-07-09,13024,33408.64
2010-07-11,5711,7609.2300000000005
2010-07-12,8861,16101.17
2010-07-13,8822,17419.12
2010-07-14,12055,19418.63
2010-07-15,27673,55836.91
2010-07-16,14039,21137.760000000002
2010-07-18,9382,14581.99
2010-07-19,18120,28611.56
2010-07-20,11707,23124.39
2010-07-21,12555,19142.73
2010-07-22,13161,21620.39
2010-07-23,12828,23886.33
2010-07-25,11531,17230.6
2010-07-26,14216,20232.85
2010-07-27,14179,28265.86
2010-07-28,13351,23252.72
2010-07-29,12799,32801.91
2010-07-30,8090,14363.69
2010-08-01,9702,30637.95
2010-08-02,11762,26124.16
2010-08-03,15479,22362.79
2010-08-04,10923,17555.5
2010-08-05,16453,23145.06
2010-08-06,9731,14728.15
2010-08-08,8116,13950.71
2010-08-09,100084,31336.59
2010-08-10,18426,28209.74
2010-08-11,7532,18629.86
2010-08-12,17702,26031.28
2010-08-13,12562,15150.14
2010-08-15,16575,20484.46
2010-08-16,10076,14270.74
2010-08-17,18060,28802.52
2010-08-18,22420,35122.520000000004
2010-08-19,22152,30663.35
2010-08-20,18521,23250.77
2010-08-22,13884,22677.01
2010-08-23,12896,20655.35
2010-08-24,18872,26577.16
2010-08-25,17238,30466.760000000002
2010-08-26,16961,31964.34
2010-08-27,6611,12166.64
2010-08-29,8766,14449.3
2010-08-31,11038,22811.75
2010-09-01,11835,20351.36
2010-09-02,21102,33430.57
2010-09-03,30598,34739.16
2010-09-05,7222,12286.710000000001
2010-09-06,14951,23717.79
2010-09-07,14936,24397.45
2010-09-08,9924,16175.220000000001
2010-09-09,12862,23526.38
2010-09-10,9905,15988.35
2010-09-12,9278,15528.75
2010-09-13,27446,32892.16
2010-09-14,11071,19705.02
2010-09-15,21295,33812.4
2010-09-16,14409,27099.271
2010-09-17,11401,19486.54
2010-09-19,13649,22783.53
2010-09-20,24263,38563.96
2010-09-21,35197,54698.89
2010-09-22,14065,27208.8
2010-09-23,20697,34305.1
2010-09-24,27622,47106.39
2010-09-26,13359,21703.9
2010-09-27,124721,115172.24
2010-09-28,22204,40015.41
2010-09-29,20250,36740.03
2010-09-30,22891,37578.57
2010-10-01,21567,34550.89
2010-10-03,20272,38335.52
2010-10-04,22556,34956.56
2010-10-05,34051,55108.91
2010-10-06,21523,30355.010000000002
2010-10-07,28267,47610.92
2010-10-08,39626,51836.73
2010-10-10,12412,23139.31
2010-10-11,23986,39962.9
2010-10-12,28703,46566.35
2010-10-13,39725,51564.7
2010-10-14,37066,86945.13
2010-10-15,20610,42398.82
2010-10-17,18342,31176.14
2010-10-18,18509,36591.44
2010-10-19,26330,46577.64
2010-10-20,23589,43387.26
2010-10-21,15231,32847.8
2010-10-22,21524,32843.94
2010-10-24,15444,28634.59
2010-10-25,14106,27945.06
2010-10-26,25020,42545.95
2010-10-27,15563,30480.55
2010-10-28,13564,30701.3
2010-10-29,22499,36100.95
2010-10-31,16347,29947.64
2010-11-01,12325,20730.24
2010-11-02,23626,42866.91
2010-11-03,23025,42870.87
2010-11-04,58902,83876.12
2010-11-05,19838,40907.93
2010-11-07,18341,31345.79
2010-11-08,18193,32303.991
2010-11-09,32781,53013.21
2010-11-10,33426,73575.93000000001
2010-11-11,33217,59712.61
2010-11-12,20025,36167.25
2010-11-14,16462,27934.71
2010-11-15,21740,42964.04
2010-11-16,37378,63788.840000000004
2010-11-17,27327,45726.741
2010-11-18,19353,37074.97
2010-11-19,23892,39999.42
2010-11-21,17985,32056.05
2010-11-22,16898,31724.88
2010-11-23,24919,49805.35
2010-11-24,24336,41138.6
2010-11-25,36908,67870.96
2010-11-26,14797,28828.04
2010-11-28,16290,27125.16
2010-11-29,36434,63245.18
2010-11-30,24650,49806.23
2010-12-01,24114,46192.49
2010-12-02,31077,47197.57
2010-12-03,11798,23876.63
2010-12-05,16241,31361.28
2010-12-06,16115,31009.33
2010-12-07,19404,53730.96
2010-12-08,21497,39094.2
2010-12-09,17383,38193.91
